date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:25	26608/26608	---M--	200	added ('OK')	image/jpeg	etag:%2267f0-567a4688effef%22	https://www.transcanin.fr/data/galerie/28/20.jpg	E:/jov/www.transcanin.fr/data/galerie/28/20.jpg	(from https://www.transcanin.fr/)
00:19:26	46013/46013	---M--	200	added ('OK')	image/jpeg	etag:%22b3bd-567a468a1ad2f%22	https://www.transcanin.fr/data/galerie/29/21.jpg	E:/jov/www.transcanin.fr/data/galerie/29/21.jpg	(from https://www.transcanin.fr/)
00:19:27	43684/43684	---M--	200	added ('OK')	image/jpeg	etag:%22aaa4-567a468c4582f%22	https://www.transcanin.fr/data/galerie/31/23.jpg	E:/jov/www.transcanin.fr/data/galerie/31/23.jpg	(from https://www.transcanin.fr/)
00:19:28	75637/75637	---M--	200	added ('OK')	image/jpeg	etag:%2212775-567a468b98a8f%22	https://www.transcanin.fr/data/galerie/30/22.jpg	E:/jov/www.transcanin.fr/data/galerie/30/22.jpg	(from https://www.transcanin.fr/)
00:19:33	38630/38630	---M--	200	added ('OK')	image/jpeg	etag:%2296e6-567a46903746f%22	https://www.transcanin.fr/data/galerie/9/1.jpg	E:/jov/www.transcanin.fr/data/galerie/9/1.jpg	(from https://www.transcanin.fr/)
00:19:33	38591/38591	---M--	200	added ('OK')	image/jpeg	etag:%2296bf-567a468fa9acf%22	https://www.transcanin.fr/data/galerie/8/5.jpg	E:/jov/www.transcanin.fr/data/galerie/8/5.jpg	(from https://www.transcanin.fr/)
00:19:34	37597/37597	---M--	200	added ('OK')	image/jpeg	etag:%2292dd-567a468f21eef%22	https://www.transcanin.fr/data/galerie/7/4.jpg	E:/jov/www.transcanin.fr/data/galerie/7/4.jpg	(from https://www.transcanin.fr/)
00:19:35	32569/32569	---M--	200	added ('OK')	image/jpeg	etag:%227f39-567a468e3e64f%22	https://www.transcanin.fr/data/galerie/6/3.jpg	E:/jov/www.transcanin.fr/data/galerie/6/3.jpg	(from https://www.transcanin.fr/)
00:19:35	37295/37295	---M--	200	added ('OK')	image/jpeg	etag:%2291af-567a468d918af%22	https://www.transcanin.fr/data/galerie/5/2.jpg	E:/jov/www.transcanin.fr/data/galerie/5/2.jpg	(from https://www.transcanin.fr/)
00:19:36	66232/66232	---M--	200	added ('OK')	image/jpeg	etag:%22102b8-567a468d2236f%22	https://www.transcanin.fr/data/galerie/4/1.jpg	E:/jov/www.transcanin.fr/data/galerie/4/1.jpg	(from https://www.transcanin.fr/)
00:19:36	33102/33102	---M--	200	added ('OK')	image/jpeg	etag:%22814e-567a468a556af%22	https://www.transcanin.fr/data/galerie/3/3.jpg	E:/jov/www.transcanin.fr/data/galerie/3/3.jpg	(from https://www.transcanin.fr/)
